,Rhop_mean,Tent_mean,M,D,prob,ranking,Length
comp56425_c0,0.119915960093929,2.44174319983126,-4.3478158881756,2.32182723973733,0.832833932277168,-4.92893342708729,329
comp56432_c0,0.182227948595394,1.14170689322364,-2.64737617003451,0.959478944628247,0.57373589107658,-2.81588359682206,433
comp56435_c0,5.85282128304601,1.69766169219037,1.78558323724159,4.15515959085564,0.886531355975097,4.52257213569864,364
comp56440_c0,0.106340568385183,0.333126067901507,-1.64737617003451,0.226785499516324,0.240074404008706,-1.66291307902381,371
comp56466_c0,2.43444633323175,5.158919668609,-1.08347528484119,2.72447333537725,0.771741661183378,-2.93200846657088,551
comp56466_c1,1.53710457938582,4.21328765425429,-1.45473109209212,2.67618307486847,0.804631269929645,-3.04601352598966,308
comp56466_c2,5.37144683218864,6.81774559389505,-0.343984026584577,1.44629876170641,0.470607885812623,-1.48664222954241,426
comp56467_c0,6.69111870770511,5.24020629851787,0.352623829965488,1.45091240918724,0.474398947208584,1.49314781069827,625
comp56467_c1,11.0168828847049,6.29608268333849,0.807189693430969,4.72080020136643,0.742916434681379,4.78931203226544,795
comp56476_c0,0.221021573506458,2.07713901162116,-3.23233867075567,1.8561174381147,0.774376170471225,-3.72735633211208,357
comp56491_c0,NA,NA,NA,NA,NA,0,531
comp56491_c1,NA,NA,NA,NA,NA,0,434
comp56491_c3,NA,NA,NA,NA,NA,0,555
comp56491_c4,NA,NA,NA,NA,NA,0,883
comp56491_c5,NA,NA,NA,NA,NA,0,882
comp56491_c6,NA,NA,NA,NA,NA,0,961
comp56516_c0,0.0930479973370348,0.437227964120728,-2.23233867075567,0.344179966783693,0.302935668370704,-2.25871551783008,424
comp56518_c0,0.657539181181713,0.514957379964413,0.352623829965488,0.142581801217299,0.182714987093182,0.380359219025777,360
comp56523_c1,0.686127841233091,1.88071390943525,-1.45473109209212,1.19458606820216,0.611649035784785,-1.88235980212132,460
